Pathway	MBS1215	MBS1216	MBS1217	MBS1218	MBS1219	MBS1220	MBS1222	MBS1223	MBS1226	MBS1227	MBS1228	MBS1230	MBS1231	MBS1232	MBS1233	MBS1234	MBS1235	MBS1236	MBS1237	MBS1238	MBS1239	MBS1240	MBS1241	MBS1242	MBS1243	MBS1247	MBS1248	MBS1249	MBS1251	MBS1253	MBS1254	MBS1255	MBS1256	MBS1257	MBS1258	MBS1259	MBS1260	MBS1261	MBS1262	MBS1263	MBS1264	MBS1433	MBS1434	MBS1435	MBS1436	MBS1438	MBS1439	MBS1440	MBS1441	MBS1442	MBS1443	MBS1444	MBS1446	MBS1447	MBS1448	MBS1449	MBS1450	MBS1451	MBS1452	MBS1453	MBS1454	MBS1455	MBS1456	MBS1457	MBS1458	MBS1459	MBS1460	MBS1461	MBS1464	MBS1465	MBS1467	MBS1468	MBS1469	MBS1470	MBS1471	MBS1472	MBS1473	MBS1474	MBS1475	MBS1477	MBS1478	MBS1479	MBS1480	MBS1481	MBS1482	MBS1483	MBS1484	MBS1485	MBS1486	MBS1487	MBS1488	MBS1489	MBS1490	MBS1491	MBS1492	MBS1493	MBS1494	MBS1495	MBS1496	MBS1497	MBS1498	MBS1499	MBS1500	MBS1501	MBS1502	MBS1503	MBS1504	MBS1505	MBS1506	MBS1507	MBS1508	MBS1509	MBS1510	MBS1511	MBS1513	MBS1514	MBS1515	MBS1516	MBS1517	MBS1518	MBS1519	MBS1520	MBS1521	MBS1522	MBS1523	MBS1524	MBS1525	MBS1526	MBS1527	MBS1528	MBS1529	MBS1530	MBS1531	MBS1532	MBS1533	MBS1534	MBS1535	MBS1536	MBS1537	MBS1538	MBS1539	MBS1540	MBS1541	MBS1542	MBS1543	MBS1544	MBS1545	MBS1546	MBS1547	MBS1548	MBS1549	MBS1550	MBS1551	MBS1552	MBS1553	MBS1554	MBS1555	MBS1556	MBS1557	MBS1558	MBS1559	MBS1560	MBS1561	MBS1562	MBS1563	MBS1564	MBS1565	MBS1566	MBS1567	MBS1568	MBS1570	MBS1571	MBS1572	MBS1573	MBS1574	MBS1575	MBS1576	MBS1577	MBS1578	MBS1579	MBS1580	MBS1582	MBS1583	MBS1584	MBS1585	MBS1586	MBS1587	MBS1588	MBS1589	MBS1590	MBS1591	MBS1592	MBS1593	MBS1594	MBS1595	MBS1596	MBS1598	MBS1599	MBS1600	MBS1601	MBS1602	MBS1603	MBS1604	MBS1605	MBS1606	MBS1608	MBS1609	MBS1610	MBS1611	MBS1612	MBS1613	MBS1614	MBS1615	MBS1616	MBS1124	MBS1160	MHH266	MHH357	MHH381	MHH394	MHH607	MHS142	MHH595	MHS120	MHS138	MBS1163	MHH257	MHH359	MHH375	MHH396	MHH574	MHH623	MBH094	MBS1151	MHH348	MHH374	MHH565	MBH069	MBS1116	MBS1150	MHH347	MHH372	MHH564	MBH078	MBS1123	MBS1159	MHH265	MHH356	MHH380	MHH393	MHH597	MHS141	MHH594	MHS119	MHS137	MBH043	MBH060	MBH089	MBS1141	MHH336	MHH366	MHH552	MHH616	MBS1168	MHH256	MHH263	MHH351	MHH358	MHH376	MHH383	MHH395	MHH553	MHH573	MHH589	MHH622	MHH624	MBS1169	MHH264	MHH352	MHH384	MHH554	MHH590	MHS124	MBH068	MBH095	MHH346	MHH370	MHH563	MBS1115	MBS1152	MHH260	MHH344	MHH373	MHH392	MHH596	MHS136
PWY-5097: L-lysine biosynthesis VI	0.000568139	0.000524281	0.000350755	0.000741969	0.000528952	0.000820626	0.000211169	0.000516404	0.000741248	0.000616692	0.000675865	0.000707849	0.000428177	0.000643575	0.000605984	0.000655193	0.000538318	0.000279178	0.000292638	0.000618717	0.000402006	0.000310383	0.000307649	0.000719595	0.000432883	0.000410229	0.000578287	0.000428527	0.000195777	0.000610807	0.00095145	0.000580874	0.000367722	0.000688702	0.000594887	0.000294617	0.000137211	0.00060547	0.000675785	0.000750918	0.000354649	0.000548764	0.000245397	0.000380634	0.00040139	0.00071954	0.000567071	0.000711623	0.00053643	0.000705645	0.000388329	0.00048501	0.000562033	0.000479527	0.000843662	0.0010282	0.00034481	0.000453756	0.00107841	0.000722922	0.000330714	0.00113952	0.000673372	0.000321879	0.000821152	0.000290143	0.000308357	0.000324081	0.00059936	0.000881645	0.000539488	0.000457605	0.000386392	0.000324086	0.000291148	0.000394577	0.000631289	0.000533132	0.000433328	0.00050575	0.00070611	0.00056853	0.000747821	0.000604363	0.000365226	0.00039653	0.000401189	0.000281809	0.000679347	0.00116144	0.00108594	0.000584393	0.00111116	0.000328122	0.00058119	0.000276889	0.000393748	0.00100657	0.000853239	0.000855178	0.00103807	0.000734361	0.000632422	0.000764911	0.000691984	0.000828416	0.000771258	0.000729638	0.000689216	0.000833808	0.000344607	0.000712601	0.000895583	0.000723689	0.000531248	0.000299343	0.000876676	0.000520498	0.000583774	0.000664385	0.000493674	0.000739884	0.000388066	0.000229904	0.000274528	0.000871752	0.000534854	0.000265056	0.000444687	0.000379011	0.00100414	0.000264141	0.000369104	0.000697323	0.000415588	0.000362014	0.000599303	0.000597185	0.00125178	0.000654396	0.000718699	0.000704179	0.000669634	0.000722926	0.000469785	0.000496641	0.0024903	0.000488071	0.000542736	0.000656297	0.000674232	0.000308709	0.000310916	0.000835492	0.00035783	0.000957379	0.00040288	0.000386358	0.00030865	0.000555724	0.000793967	0.000360061	0.000654738	0.000311963	0.000929338	0.00026187	0.000466886	0.000603156	0.000891694	0.000849649	0.00132359	0.000735856	0.000536653	0.000708223	0.000266416	0.00054584	0.00103829	0.000985915	0.00059346	0.000391384	0.000437682	0.000557754	0.00046133	0.000261283	0.000369433	0.000946265	0.000748801	0.000303467	0.000490343	0.000996478	0.000434433	0.000416294	0.00128565	0.000161803	0.00108817	0.000766364	0.000500983	0.000979284	0.000631583	0.000329257	0.000843556	0.000336866	0.00035047	0.000332285	0.000446858	0.000303562	0.000379972	0.000504853	0.000596025	0.000340725	0.000555573	0.000569016	0.000347006	0.000224647	0.000599674	0.00038718	0.000471781	0.000506003	0.000487119	0.000589203	0.00056434	0.000506767	0.000540012	0.00050555	0.000702197	0.0003507	0.000417698	0.00031956	0.000448638	0.000375201	0.000313683	0.000397277	0.000537906	0.000650695	0.000667155	0.00101053	0.000651115	0.000573888	0.000783598	0.000335526	0.000291062	0.000326699	0.000580991	0.000815715	0.000937144	0.00082036	0.000521357	0.000258697	0.000671462	0.000600634	0.000481079	0.000677478	0.000378471	0.000289671	0.00037146	0.000810313	0.000584131	0.00030754	0.000493352	0.000535693	0.000791415	0.000715836	0.000445574	0.00047482	0.000589354	0.000602281	0.000347298	0.00059511	0.000531049	0.00033387	0.000576066	0.000663919	0.000830705	0.000315171	0.00075373	0.000610744	0.00037714	0.000323871	0.000372539	0.000461138	0.000522379	0.000623698	0.000379971	0.000474095	0.000613927	0.000415339	0.00043026	0.00029186	0.000327154	0.000389854	0.000310612	0.000369019	0.000276056	0.00029036	0.000304475	0.000521801
PWY-5097: L-lysine biosynthesis VI|g__Eubacterium.s__Eubacterium_rectale	6.29444e-06	NA	NA	NA	NA	NA	NA	6.8596e-06	NA	6.87732e-06	7.57788e-05	NA	NA	NA	1.32732e-05	NA	3.05879e-05	NA	NA	4.91097e-06	NA	NA	NA	NA	4.91948e-06	2.45774e-05	4.90158e-06	NA	NA	1.6846e-05	NA	7.71306e-06	NA	2.39697e-05	NA	NA	NA	1.23884e-05	NA	NA	NA	NA	NA	9.32755e-07	NA	NA	NA	5.7318e-06	NA	5.38262e-06	8.8332e-06	NA	3.31418e-06	NA	NA	1.47803e-05	NA	NA	2.82434e-06	4.08763e-06	NA	NA	NA	7.25328e-06	NA	NA	NA	1.0445e-05	NA	2.02676e-06	1.57383e-05	NA	NA	3.48164e-06	NA	3.15149e-06	4.81459e-06	7.64961e-06	NA	NA	2.86298e-05	NA	NA	NA	NA	NA	1.43249e-06	1.03473e-06	NA	NA	NA	NA	5.44895e-06	NA	5.22687e-06	NA	2.16526e-06	1.72241e-05	1.8806e-06	1.13062e-05	NA	3.60503e-06	NA	NA	2.55122e-05	NA	NA	NA	NA	1.36696e-05	NA	NA	NA	NA	9.32337e-06	NA	NA	NA	2.24283e-05	NA	NA	NA	NA	7.57944e-06	NA	NA	2.02247e-05	1.82577e-06	8.08363e-07	5.14087e-07	NA	NA	NA	1.9971e-05	8.15496e-06	NA	4.75692e-05	NA	NA	NA	4.97146e-06	NA	NA	NA	NA	7.59417e-06	NA	NA	2.19612e-06	NA	8.07206e-06	2.31526e-06	NA	NA	NA	NA	7.02318e-07	5.02315e-06	7.56588e-06	7.40447e-06	NA	NA	NA	2.74663e-06	1.45077e-05	1.61361e-06	NA	NA	NA	1.06948e-05	2.55556e-05	NA	6.52426e-07	1.91471e-05	NA	5.45471e-06	NA	NA	NA	1.35957e-05	1.03138e-05	NA	1.11305e-05	1.76155e-06	NA	NA	NA	8.12385e-06	5.18502e-06	NA	4.39438e-06	NA	NA	NA	5.47589e-06	NA	1.06118e-05	NA	3.2132e-06	NA	NA	NA	NA	NA	NA	NA	NA	3.12007e-06	NA	NA	NA	6.27228e-06	1.96622e-06	NA	5.30526e-05	3.52158e-06	1.1681e-05	1.62578e-05	8.1247e-06	5.64033e-05	1.93941e-05	2.21956e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.39331e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.05184e-06	1.53253e-05	3.0635e-05	NA	NA	NA	NA	7.60215e-06	1.05317e-06	3.97816e-06	2.76144e-07	1.54078e-05	5.83161e-05	3.98577e-05	3.40569e-05	1.66327e-05	4.13061e-05	8.61132e-06	4.26434e-05	1.65576e-05	2.00164e-05	NA	2.39879e-05	2.34414e-05	2.51861e-05	1.21278e-05	2.51816e-05	1.66758e-06	2.61728e-06	3.15704e-05	2.2718e-05	6.54843e-06	9.49893e-06	3.5945e-06	5.69559e-06	5.48633e-06	NA	NA	NA	NA	NA	NA	NA	NA
PWY-5097: L-lysine biosynthesis VI|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	2.07921e-05	9.50388e-06	1.51589e-05	8.94106e-06	9.63225e-06	1.28397e-05	NA	2.96718e-06	NA	NA	1.98214e-05	2.70077e-05	NA	1.34566e-05	NA	NA	3.11792e-05	1.7822e-06	5.86633e-06	1.92289e-05	3.51113e-06	NA	NA	NA	8.6864e-06	2.69044e-05	7.50528e-06	NA	3.90129e-06	NA	1.75234e-05	NA	NA	1.00138e-05	2.16133e-05	3.15683e-06	NA	6.67739e-06	1.2616e-05	NA	5.33008e-06	NA	1.63446e-06	3.43786e-07	3.59812e-06	8.61685e-06	NA	1.0819e-05	2.37095e-06	1.74156e-05	1.59404e-05	7.40195e-06	NA	6.34976e-06	NA	NA	NA	1.26452e-05	2.27074e-05	8.25918e-06	1.04378e-05	NA	1.7611e-05	1.16407e-05	1.44896e-05	NA	NA	2.12993e-05	NA	3.77003e-05	NA	1.35499e-05	2.89406e-06	1.29907e-05	7.18306e-06	7.86117e-06	2.46756e-05	7.93315e-06	4.86978e-05	NA	NA	6.17547e-06	7.71677e-06	NA	1.89081e-06	1.22431e-05	2.36873e-06	1.02872e-05	8.07686e-06	NA	7.08203e-05	5.40798e-06	3.34003e-06	9.21105e-07	1.91682e-05	4.85249e-05	5.82692e-06	1.22594e-05	2.86831e-05	4.58228e-06	NA	8.86338e-06	3.35346e-05	NA	NA	1.63909e-06	5.87208e-06	5.06399e-06	NA	1.31939e-05	NA	2.8352e-05	1.12632e-05	1.3512e-05	2.01602e-05	1.42139e-05	NA	4.47273e-05	2.38428e-05	NA	NA	NA	3.99524e-05	1.55438e-05	2.19499e-06	9.64073e-06	1.56392e-05	1.16387e-05	3.95345e-05	2.79529e-06	1.64604e-05	NA	NA	NA	5.43714e-06	NA	2.4625e-05	8.53814e-06	NA	2.14846e-05	1.12911e-05	4.58726e-06	2.30442e-05	5.51613e-06	1.40337e-06	1.27443e-05	NA	3.53282e-05	8.98343e-06	7.35879e-06	2.25866e-06	2.89808e-06	9.42589e-06	4.392e-05	1.43497e-05	NA	2.77861e-06	3.13715e-06	3.32712e-05	7.62741e-06	NA	NA	9.77637e-06	2.72309e-06	1.77781e-05	1.24068e-06	1.51297e-05	2.45183e-05	1.91116e-05	NA	1.65962e-05	5.95881e-07	9.71594e-06	2.83085e-06	3.96319e-06	2.12506e-05	1.21894e-06	9.15833e-06	3.65104e-05	9.9854e-06	7.25308e-06	2.09114e-05	1.07841e-05	2.46399e-05	6.34286e-05	3.68015e-06	1.15062e-05	8.77823e-06	3.70515e-05	3.93263e-06	2.33498e-05	NA	1.17746e-06	2.14933e-06	NA	1.92305e-05	1.05063e-05	2.03981e-06	2.08404e-05	NA	3.71261e-07	1.03453e-05	3.11683e-07	7.08096e-06	NA	9.37172e-06	NA	1.96254e-05	9.52571e-06	1.0779e-05	NA	5.70846e-05	5.92277e-06	1.70083e-05	2.95179e-05	5.60791e-06	4.19084e-05	1.93203e-05	4.00312e-05	9.76731e-06	2.8293e-05	4.61802e-06	8.30281e-06	1.29037e-05	2.03511e-05	5.0009e-05	5.56368e-05	1.92802e-05	8.81334e-05	1.63915e-05	2.2479e-05	5.81031e-05	5.53282e-06	2.2147e-05	6.09783e-05	NA	5.34269e-05	NA	NA	NA	3.06553e-07	NA	NA	3.10353e-05	2.29335e-05	2.88629e-05	9.12042e-05	1.17903e-05	0.000108937	3.20573e-05	2.37554e-05	1.83858e-05	1.10947e-05	1.49315e-05	3.87921e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.16356e-05	1.41806e-06	7.51921e-06	3.51305e-05	8.2101e-05	1.02853e-07	9.76101e-05	1.06466e-06	4.13431e-05	NA	7.99241e-05	9.16398e-07	8.61419e-05	8.53439e-05	7.33616e-05	3.67244e-05	4.55091e-05	4.09991e-06	6.79302e-05	8.12972e-06	3.90818e-05	3.2197e-05	1.25046e-05	1.24715e-05	3.00833e-05	2.50931e-05	2.4618e-05	1.44306e-05	1.82235e-05	1.26425e-05	4.57879e-06	1.98874e-05
PWY-5097: L-lysine biosynthesis VI|g__Prevotella.s__Prevotella_copri	NA	NA	NA	NA	6.05599e-05	NA	NA	NA	NA	NA	NA	NA	0.000210639	NA	NA	0.000165034	0.000232447	NA	NA	NA	2.39284e-06	4.38787e-06	NA	NA	0.000114842	0.00015866	0.000319043	NA	NA	NA	0.000644819	3.16375e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.84644e-07	NA	3.60589e-06	NA	2.67423e-06	NA	6.15101e-07	0.00015212	4.01597e-05	NA	NA	0.000257971	NA	NA	NA	NA	0.000618601	NA	2.37305e-05	NA	NA	4.64747e-05	NA	NA	NA	2.10191e-05	NA	0.000154202	NA	NA	NA	NA	2.57698e-07	NA	NA	NA	6.64097e-07	6.9145e-07	NA	NA	NA	NA	NA	NA	NA	0.000100231	NA	0.000434059	0.000611574	NA	0.000870818	6.74981e-07	NA	NA	NA	NA	2.11576e-06	0.000521998	7.0938e-07	NA	NA	NA	NA	NA	8.58211e-07	0.000590699	NA	NA	NA	1.0406e-06	NA	NA	0.000241563	6.43438e-07	1.67685e-06	0.000245957	NA	7.09005e-07	NA	NA	NA	6.1486e-07	NA	0.000231481	NA	NA	7.58839e-06	3.69293e-05	NA	2.13547e-07	NA	NA	3.65991e-07	NA	NA	NA	NA	NA	7.01418e-07	0.000402666	1.14999e-06	NA	NA	6.28475e-07	0.0019402	NA	5.0736e-07	NA	NA	NA	NA	NA	3.40915e-06	2.29742e-06	NA	NA	2.15564e-05	3.83903e-07	7.38393e-07	2.81635e-07	0.000285055	NA	8.02762e-07	4.29357e-07	7.12835e-07	0.00020693	7.10299e-07	2.57233e-06	0.000754877	5.22302e-06	1.03512e-06	1.35375e-06	4.1506e-05	NA	NA	0.00066838	NA	5.94068e-07	4.74265e-07	4.2606e-07	NA	NA	9.08551e-06	NA	NA	4.89888e-07	0.000120657	NA	NA	5.81496e-07	0.000805859	6.44511e-06	0.000469864	1.21202e-06	3.26551e-05	NA	NA	2.18032e-07	4.28397e-06	6.77797e-05	1.07509e-06	1.57261e-06	4.97345e-07	6.24017e-07	8.60417e-07	1.24412e-06	8.63322e-05	NA	NA	9.20511e-05	6.76291e-07	2.66959e-05	6.90508e-05	5.27096e-06	2.88988e-06	2.91913e-06	5.87713e-06	4.08112e-05	0.000126582	7.259e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.44688e-07	NA	NA	NA	NA	NA	5.64778e-07	NA	NA	NA	NA	0.000357749	0.000497434	0.00040831	4.04019e-05	8.52363e-06	0.000105817	0.000242476	0.000135042	0.000251379	2.49588e-06	2.63288e-05	2.26789e-05	NA	NA	NA	NA	NA	NA	1.81581e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.26109e-07	NA	NA	NA	1.72566e-05	2.56926e-05	2.73835e-05	9.82855e-06	9.71353e-06	7.90995e-06	2.14746e-05	1.40958e-06
PWY-5097: L-lysine biosynthesis VI|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	NA	NA	1.94941e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.77885e-05	5.08697e-06	2.16523e-05	1.72476e-05	1.48809e-05	8.55715e-06	9.1215e-06	NA	2.88861e-06	NA	NA	3.04403e-05	1.62625e-05	4.53747e-05	1.19456e-05	3.37156e-05	4.1636e-05	2.10989e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.40605e-05	7.49322e-06	2.7396e-05	6.95284e-05	4.25636e-05	NA	2.03758e-05	3.80684e-05	2.47742e-05	2.95064e-06	2.18308e-06	5.09932e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.23694e-05	2.37584e-05	1.30415e-05	NA	NA	NA	1.57755e-05	6.70981e-06	1.09628e-05	NA	8.34197e-06	1.19413e-05	1.21606e-05	2.24613e-05	2.09197e-05	5.74678e-06	8.18038e-06	5.86023e-06	1.5562e-05	NA	8.64896e-06	7.4331e-06	NA	3.4558e-06	NA	2.72987e-05	NA	2.6018e-05	NA	2.01758e-05	NA	NA
PWY-5097: L-lysine biosynthesis VI|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	NA	NA	NA	NA	NA	1.88715e-06	NA	NA	NA	NA	NA	NA	7.16375e-06	NA	NA	NA	9.88046e-06	NA	NA	NA	1.77498e-06	NA	NA	NA	1.88915e-06	NA	1.36876e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.80967e-07	1.93585e-06	NA	NA	NA	NA	3.07659e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.76852e-06	1.61325e-06	2.89419e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.37678e-06	NA	NA	NA	NA	NA	NA	NA	NA	3.1067e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.30025e-06	NA	3.20056e-06	4.26753e-06	NA	NA	NA	1.3177e-06	NA	NA	NA	1.26704e-06	NA	1.19881e-06	NA	NA	NA	3.29695e-06	NA	NA	NA	NA	NA	NA	NA	NA	1.47869e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.77608e-06	NA	NA	NA	NA	NA	NA	NA	NA	4.4176e-06	NA	NA	NA	NA	9.3971e-07	NA	2.66943e-05	NA	5.9475e-06	NA	NA	9.41349e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.72424e-06	NA	9.29042e-07	NA	NA	2.15475e-06	NA	NA	6.51624e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.20379e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.78287e-06	3.61689e-06	1.94782e-06	3.98348e-06	1.66853e-06	5.87906e-06	3.59478e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.91877e-05	2.86113e-05	2.00933e-05	1.38554e-05	5.99515e-06	1.26998e-05	1.71989e-05	1.311e-05	2.08616e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PWY-5097: L-lysine biosynthesis VI|g__Catenibacterium.s__Catenibacterium_mitsuokai	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.6229e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.67168e-06	NA	NA	NA	6.86281e-07	NA	NA	NA	NA	NA	3.29156e-06	NA	NA	NA	NA	NA	NA	NA	3.69703e-06	NA	2.52794e-06	NA	NA	4.31185e-06	NA	NA	NA	9.40919e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.798e-06	NA	NA	NA	NA	NA	NA	3.72893e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.96732e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.21609e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.77186e-06	7.26776e-07	NA	NA	4.44484e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.77411e-06	NA	1.77462e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.80885e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.43861e-06	3.3435e-05	6.35671e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.84575e-06	1.68542e-06	1.01817e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.38429e-07	1.93436e-06	4.43898e-06	1.29181e-06	2.5685e-06	1.29785e-06	4.53343e-06	8.2809e-07
PWY-5097: L-lysine biosynthesis VI|g__Blautia.s__Ruminococcus_obeum	NA	NA	2.51024e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.17766e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.79497e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.91748e-07	1.06024e-06	NA	NA	NA	NA	NA	8.54006e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.78435e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.43837e-07	NA	NA	NA	NA	NA	NA	NA	8.2539e-07	NA	NA	NA	NA	NA	2.54463e-06	1.03099e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.99393e-06	NA	NA	NA	NA	6.37627e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.3731e-07	6.17716e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.04318e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.72968e-07	NA	NA	NA	NA	NA	NA	5.01005e-06	NA	2.13514e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.65832e-07	NA	NA	NA	1.07739e-06	NA	NA	NA	NA	5.62115e-07	NA	3.8906e-07	1.02862e-06	9.32578e-06	1.60792e-06	1.26973e-06	3.04112e-07	4.21132e-07	1.64885e-06	4.93935e-07	9.79354e-06	1.51489e-06	1.22732e-05	7.10049e-07	9.86208e-06	6.16048e-06	2.11404e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.29672e-06	8.43193e-06	3.91552e-06	1.99858e-05	1.43756e-05	7.73689e-07	4.08806e-06	5.12154e-06	3.42773e-06	2.55995e-06	2.54065e-06	3.19793e-06	NA	NA	NA	NA	NA	NA	NA	NA	1.84875e-06	1.82596e-06	1.40249e-06	3.50434e-06	1.49857e-06	NA	3.23846e-07	4.48362e-06	2.37832e-06	1.44765e-06	3.11028e-06	NA	2.29479e-06	1.01892e-06	1.30371e-06	2.07891e-06	4.74903e-07	1.10129e-06	3.57213e-06	1.01014e-06	4.33634e-07	3.20898e-06	2.96617e-06	NA	1.08927e-06	5.92529e-07	3.31527e-07	1.06062e-06	2.22149e-06	2.48027e-06	3.39453e-06	1.74602e-06	1.00973e-06
