,decade,variable,value
175,41-60,shannon,2.756047785
176,41-60,shannon,2.236043904
177,41-60,shannon,2.615336477
178,41-60,shannon,2.654663234
179,41-60,shannon,3.155958699
180,41-60,shannon,2.811220491
181,41-60,shannon,2.234766281
182,41-60,shannon,1.549864008
183,41-60,shannon,2.631062355
184,41-60,shannon,2.678471653
185,41-60,shannon,3.131589941
186,41-60,shannon,2.701853861
187,41-60,shannon,1.445001305
188,41-60,shannon,2.49499554
189,41-60,shannon,2.775655711
190,41-60,shannon,3.051431
191,61-70,shannon,2.914557821
192,61-70,shannon,1.855456036
193,61-70,shannon,2.558235868
194,61-70,shannon,3.167391895
195,61-70,shannon,3.202443848
196,61-70,shannon,2.852324803
197,61-70,shannon,2.693243299
198,61-70,shannon,3.059517889
199,61-70,shannon,2.82009803
200,61-70,shannon,2.537024421
201,61-70,shannon,2.974205027
202,61-70,shannon,3.290712592
203,61-70,shannon,2.967351802
204,61-70,shannon,3.384647964
205,61-70,shannon,2.522103999
206,61-70,shannon,2.999638256
207,61-70,shannon,1.947728365
208,61-70,shannon,1.350395841
209,61-70,shannon,2.870475238
210,61-70,shannon,2.925486411
211,61-70,shannon,2.800402754
212,61-70,shannon,3.017762893
213,61-70,shannon,2.221066943
214,61-70,shannon,1.66882536
215,61-70,shannon,3.030505954
216,61-70,shannon,2.750968454
217,61-70,shannon,2.434057182
218,61-70,shannon,2.709350882
219,61-70,shannon,2.97416491
220,71-80,shannon,2.066902137
221,71-80,shannon,2.335015348
222,71-80,shannon,2.772008163
223,71-80,shannon,2.14958485
224,71-80,shannon,2.481308087
225,71-80,shannon,2.748417274
226,71-80,shannon,2.917407622
227,71-80,shannon,2.599827472
228,71-80,shannon,2.863288571
229,71-80,shannon,2.995337542
230,71-80,shannon,2.431669498
231,71-80,shannon,2.699126847
232,71-80,shannon,2.498740971
233,71-80,shannon,2.775663069
234,71-80,shannon,1.561957026
235,71-80,shannon,1.951111053
236,71-80,shannon,2.516594562
237,71-80,shannon,2.74674692
238,71-80,shannon,2.917575304
239,71-80,shannon,2.896500212
240,71-80,shannon,2.732949831
241,71-80,shannon,2.064042858
242,81-90,shannon,2.035653728
243,81-90,shannon,3.237038969
244,81-90,shannon,2.393808641
245,81-90,shannon,3.091180776
246,81-90,shannon,2.663317061
247,81-90,shannon,2.9189864
248,81-90,shannon,2.205319261
249,81-90,shannon,3.164712322
