Index,MDS1,MDS2,decade,decade10,samID,age
MBS1468,0.041753872,-0.041769597,81-100,81-90,MBS1468,88
MBS1480,0.009670467,0.003238309,81-100,81-90,MBS1480,88
MBS1491,0.055309161,-0.038045126,81-100,81-90,MBS1491,88
MBS1493,0.002473865,0.0321008,81-100,81-90,MBS1493,88
MBS1501,0.028229741,-0.025709144,81-100,81-90,MBS1501,88
MBS1502,0.05560226,-0.02630022,81-100,81-90,MBS1502,88
MBS1504,0.045645751,-0.043574237,81-100,81-90,MBS1504,88
MBS1515,0.070293406,-0.031709427,81-100,81-90,MBS1515,88
MBS1517,0.014887266,0.020207232,81-100,81-90,MBS1517,88
MBS1521,0.022619642,0.02359353,81-100,81-90,MBS1521,88
MBS1522,0.003494259,-0.005463267,81-100,81-90,MBS1522,88
MBS1264,0.00207072,0.020795675,81-100,81-90,MBS1264,88
MBS1251,0.035164508,-0.071110999,81-100,81-90,MBS1251,88
MBS1236,0.044577065,-0.05393034,81-100,81-90,MBS1236,88
MBS1232,0.028622397,0.012633427,81-100,81-90,MBS1232,88
MBS1540,-0.088242604,-0.076343656,81-100,81-90,MBS1540,89
MBS1554,0.020893093,-0.032704994,81-100,81-90,MBS1554,89
MBS1556,0.039914965,-0.075691277,81-100,81-90,MBS1556,89
MBS1436,0.024291672,-0.042793861,81-100,81-90,MBS1436,89
MBS1447,-0.046646467,-0.122726248,81-100,81-90,MBS1447,89
MBS1451,0.01245881,0.004619916,81-100,81-90,MBS1451,89
MBS1453,0.030634436,-0.006454764,81-100,81-90,MBS1453,89
MBS1456,0.024564842,0.013436662,81-100,81-90,MBS1456,89
MBS1477,0.060706944,-0.054003168,81-100,81-90,MBS1477,89
MBS1485,0.027589056,-0.071344873,81-100,81-90,MBS1485,89
MBS1488,-0.111459979,-0.046002634,81-100,81-90,MBS1488,89
MBS1498,0.030285779,-0.037469696,81-100,81-90,MBS1498,89
MBS1506,0.037406369,-0.070289044,81-100,81-90,MBS1506,89
MBS1520,0.021339147,-0.004269285,81-100,81-90,MBS1520,89
MBS1524,-0.03656568,-0.049206922,81-100,81-90,MBS1524,89
MBS1243,-0.057861628,-0.014871073,81-100,81-90,MBS1243,89
MBS1254,-0.098020514,-0.0767643,81-100,81-90,MBS1254,89
MBS1249,0.044006341,-0.054463848,81-100,81-90,MBS1249,89
MBS1242,0.034373722,-0.016833068,81-100,81-90,MBS1242,89
MBS1541,0.043234298,-0.015708583,81-100,81-90,MBS1541,90
MBS1446,0.042627536,-0.03981703,81-100,81-90,MBS1446,90
MBS1449,0.057861082,-0.014490723,81-100,81-90,MBS1449,90
MBS1475,0.017837328,0.0247689,81-100,81-90,MBS1475,90
MBS1483,0.022738883,0.010581468,81-100,81-90,MBS1483,90
MBS1528,0.027596985,-0.077941575,81-100,81-90,MBS1528,90
MBS1434,0.047713558,-0.093209222,81-100,91-100,MBS1434,91
MBS1472,0.040302539,-0.057893811,81-100,91-100,MBS1472,91
MBS1508,0.015945453,-0.031139409,81-100,91-100,MBS1508,91
MBS1248,-0.091078612,-0.054238023,81-100,91-100,MBS1248,91
