,decade,variable,simpson
435,21-40,simpson,0.958660726
436,21-40,simpson,0.872298601
437,21-40,simpson,0.866344969
438,21-40,simpson,0.817711964
439,21-40,simpson,0.825589183
440,21-40,simpson,0.888259612
441,21-40,simpson,0.896419647
442,21-40,simpson,0.914603673
443,21-40,simpson,0.890989936
444,21-40,simpson,0.894030434
445,21-40,simpson,0.409198983
446,21-40,simpson,0.561828412
447,21-40,simpson,0.656401244
448,21-40,simpson,0.709756506
449,21-40,simpson,0.590700344
450,21-40,simpson,0.941688306
451,21-40,simpson,0.939894167
452,21-40,simpson,0.89282735
453,21-40,simpson,0.925190353
454,21-40,simpson,0.895216225
455,21-40,simpson,0.898186283
456,21-40,simpson,0.909648502
457,21-40,simpson,0.914674208
458,21-40,simpson,0.890088014
459,21-40,simpson,0.922602473
460,21-40,simpson,0.888257467
461,21-40,simpson,0.855416294
462,21-40,simpson,0.91567606
463,21-40,simpson,0.847602738
464,21-40,simpson,0.891638934
465,21-40,simpson,0.919546516
466,21-40,simpson,0.931152414
467,21-40,simpson,0.89598639
468,21-40,simpson,0.437451521
469,21-40,simpson,0.832478549
470,21-40,simpson,0.855286405
471,21-40,simpson,0.855221401
472,21-40,simpson,0.903949121
473,21-40,simpson,0.931498519
474,21-40,simpson,0.90972125
475,21-40,simpson,0.874266095
476,21-40,simpson,0.915584332
477,21-40,simpson,0.918300913
478,21-40,simpson,0.945765828
479,21-40,simpson,0.890306295
480,21-40,simpson,0.922775371
481,21-40,simpson,0.872342764
482,21-40,simpson,0.837481621
483,21-40,simpson,0.929579836
484,21-40,simpson,0.885181798
485,21-40,simpson,0.933104624
486,21-40,simpson,0.92954144
487,21-40,simpson,0.913018055
488,21-40,simpson,0.909529109
489,21-40,simpson,0.914405805
490,21-40,simpson,0.748871776
491,21-40,simpson,0.798031546
492,21-40,simpson,0.882765124
493,21-40,simpson,0.903877291
494,21-40,simpson,0.876759412
495,21-40,simpson,0.298718291
496,21-40,simpson,0.777302198
497,21-40,simpson,0.946552736
498,21-40,simpson,0.904590591
499,21-40,simpson,0.602385597
500,21-40,simpson,0.924766409
501,21-40,simpson,0.93860446
502,21-40,simpson,0.938129668
503,21-40,simpson,0.606239834
504,21-40,simpson,0.914821133
505,21-40,simpson,0.700855991
506,21-40,simpson,0.517414581
507,21-40,simpson,0.896362263
508,41-60,simpson,0.906999792
509,41-60,simpson,0.837307961
510,41-60,simpson,0.881428459
511,41-60,simpson,0.898096722
512,41-60,simpson,0.716635159
513,41-60,simpson,0.887483886
514,41-60,simpson,0.910260336
515,41-60,simpson,0.806272954
516,41-60,simpson,0.94930648
517,41-60,simpson,0.809403241
518,41-60,simpson,0.886542208
519,41-60,simpson,0.943764476
520,41-60,simpson,0.908031164
521,41-60,simpson,0.816496489
522,41-60,simpson,0.913484694
523,41-60,simpson,0.836960727
524,41-60,simpson,0.910113863
525,41-60,simpson,0.948331691
526,41-60,simpson,0.90095155
527,41-60,simpson,0.918961247
528,41-60,simpson,0.737817314
529,41-60,simpson,0.933928218
530,41-60,simpson,0.863505593
531,41-60,simpson,0.556985924
532,41-60,simpson,0.874624613
533,41-60,simpson,0.851520821
534,41-60,simpson,0.936585833
535,41-60,simpson,0.920046651
536,41-60,simpson,0.770429557
537,41-60,simpson,0.903755694
538,41-60,simpson,0.938661217
539,41-60,simpson,0.928317635
540,41-60,simpson,0.89466445
541,41-60,simpson,0.873599488
542,41-60,simpson,0.863880169
543,41-60,simpson,0.820526536
544,41-60,simpson,0.448684093
545,41-60,simpson,0.842499654
546,41-60,simpson,0.881548589
547,41-60,simpson,0.816928573
548,41-60,simpson,0.606160169
549,41-60,simpson,0.776578563
550,41-60,simpson,0.738181676
551,41-60,simpson,0.564425171
552,41-60,simpson,0.838045892
553,41-60,simpson,0.879599123
554,41-60,simpson,0.889753094
555,41-60,simpson,0.774538555
556,41-60,simpson,0.890999306
557,41-60,simpson,0.935723432
558,41-60,simpson,0.894572414
559,41-60,simpson,0.843406619
560,41-60,simpson,0.83223737
561,41-60,simpson,0.846756864
562,41-60,simpson,0.908240846
563,41-60,simpson,0.906479175
564,41-60,simpson,0.897540894
565,41-60,simpson,0.927046626
566,41-60,simpson,0.933168701
567,41-60,simpson,0.86354344
568,41-60,simpson,0.767527377
