org_list	MBE035	MBE036	MBE037	MBE038	MBM135	MBM137	MBS1533	MBS1558	MBS1559	MBS1563	MBS1567	MBS1579	MBS1587	MBS1592	MBS1594	MBS1605	MHS232	MHS236	MHS238	MHS239	MHS243	MHS246	MHS253	MHS266	MHS267	MHS276	MHS279	MHS283	MHS287	MHS289
Eubacterium rectale	27.389658182340153	0	0	6.680444389661353	2.994291216602619	5.857368670923492	2.068177495041249	2.3739518763748335	0	3.4600940645841654	0	5.466562724216897	0	0	0.5383080946287053	0	0	0	0	5.335232302266556	4.055819989817333	4.477969651477954	9.411767555574215	1.386948483075181	0.1319124677464962	0	0	0.19295103420861043	0.630521503483393	0.156990391295889
Faecalibacterium prausnitzii	26.444937632391223	0	7.580356857944159	12.428119083173529	5.361514447059705	18.065919549603574	0.8494274982217297	1.7204312579986756	0	3.241818702827327	1.7921851981222707	2.941038203905202	2.886859452681862	0	1.3108458577495106	2.0889378242711034	11.007071891202727	17.15534248159876	13.963292308740622	24.294032881503995	15.954867269586876	20.7678540997121	5.266409855602315	13.380183039059443	6.186299171892395	0	1.4114138394744538	15.27222459305482	1.1347099851057993	1.802930980697735
Bacteroides stercoris	5.259571465612271	0	0.1393009223076483	0.6489640943984514	0	0.8496470869286044	23.654409891589882	1.9901466714457263	0	0	0	0	1.8565150656554095	0	0.7687100188832016	3.2028191950618847	9.025329913724356	0	0	0.5309069734115696	8.717271529554713	0.2905906012597947	0	0.17014032697008713	0.24858909099370383	0	0	0.1417999261816119	0.5027918656633567	0
Bifidobacterium adolescentis	3.3303630861794544	0	19.016120756506023	17.48646644344802	0	0	0.14092836855389093	0	0	0	0	4.35529109159893	0	0	4.076991994964748	0.6051764617490243	16.36493458795044	8.525502851915817	0	2.3839388732377556	0.4573420412463626	19.938194548570902	56.51929231892156	26.78952922365272	23.070316052722497	0	22.648260401368166	0.9015547744214819	25.92834732664934	25.50783122007133
Ruminococcus bromii	3.256378155087336	0	0	14.845872037924268	0	2.924278353755463	0	0.8939136533170272	0	4.799177300007	0	1.8575382522807005	0.3015487012567326	27.936187550918152	0	0	4.563237418609237	5.490002519032776	0	0	5.827230713104608	0	0	0	0	0	3.1774812576454767	0	0	0.2487615906507736
Alistipes onderdonkii	2.9455686624941686	0	0	0	0	0	2.8107815545151174	1.3420060281965203	0	35.02116427963138	1.9128107189581796	5.409361351424388	0	10.998837619133395	0.15334206005155032	9.199607246767727	0	0	0	0	0.9631854693639466	0	0.22725639551595286	0	0	0	0	0	3.6791013727621635	0
Dorea longicatena	2.3988949265381896	0	1.5532797409900383	3.0181094040789604	0	4.316487729239894	0	0	0	0.2564894138312911	0	0	0	0	0.6535545049065318	0	0	0.5518778442305894	1.969841813820097	5.658032075288326	0.646745709327737	1.5677179273947028	0.9161308137751065	0.4197362779285301	0.5663464879911498	0	0	0.37672552512362956	0	0
Bifidobacterium longum	2.238228647705269	30.86335510074142	2.5365106491609377	5.071168624376366	1.6176852022943198	0.6117240747893162	0	0	0	0	0	6.542005147719158	0	0.10647639855948705	0	0.18614677389857268	6.427700000271759	6.401402150162107	0	5.1927792929998295	1.8020091845843096	5.787022400787809	1.8246719482222389	1.000757430287656	13.851436352664276	0	0	1.7977497978927246	12.035641639274946	21.336104312587384
Subdoligranulum unclassified	2.2012715623011445	0.8882330943956669	0.8206304351900207	3.6138889955363003	2.7084135376523553	7.955040392544675	3.886618562872606	0.5487877442349731	0.12078046619036374	1.2696956221542794	2.6694048283109875	1.5545569972049378	0.21717302496911225	2.4713695161841795	1.0849786489638376	0.978863610956575	0	2.884814162332468	0.4940787904659408	2.4760994776284755	4.699215208000409	6.544109573752947	1.7185678275108112	0.726654293377998	1.0295626978775536	0.5598895505095303	0	4.963007567399884	1.8562645360649253	10.113476122101114
Collinsella aerofaciens	2.0613178294181833	0	3.6975576499262774	6.66816871126594	3.651429836984501	6.146566800442781	0.11184096497715804	0.11024406817367205	0	0	0.10196449439467778	0.3598591135647425	0.11019709340702184	0	2.5305126258497164	1.5932600588483539	3.860456844111305	2.6658092299103084	0	8.467125322342154	0.7135940627682221	3.701964080938224	5.209901059648421	12.119107763959686	9.62835566692987	0	0	3.4762654392295604	8.424751799585204	4.459611902720502
