"org_list","pval","betaestimate","stderror","padj"
"s__Adlercreutzia_equolifaciens",0.874872965264433,100.820465487201,639.333557936156,0.992048168096284
"s__Akkermansia_muciniphila",0.333376378397975,-4.2503268225162,4.38203731091048,0.992048168096284
"s__Alistipes_finegoldii",0.400153940513181,-27.6110351618937,32.739843213109,0.992048168096284
"s__Alistipes_indistinctus",0.709341331243468,-7.76509669658932,20.7994902543616,0.992048168096284
"s__Alistipes_onderdonkii",0.496140315892768,-2.05837963833696,3.01832550386683,0.992048168096284
"s__Alistipes_putredinis",0.829144305745329,-0.634656952308064,2.93668902025431,0.992048168096284
"s__Alistipes_senegalensis",0.4280012423794,-60.5253312140764,76.1887590989394,0.992048168096284
"s__Alistipes_shahii",0.71412467808707,-1.89494061701029,5.1647352766971,0.992048168096284
"s__Alistipes_sp_AP11",0.640905932923286,-10.0725481444526,21.5583636145697,0.992048168096284
"s__Alistipes_sp_HGB5",0.899690263909777,-6.07317607441646,48.11175179287,0.992048168096284
"s__Anaerostipes_hadrus",0.599745689830743,224.095329496398,426.282208303173,0.992048168096284
"s__Bacteroidales_bacterium_ph8",0.390798319155801,4.56545970297406,5.30716198955869,0.992048168096284
"s__Bacteroides_barnesiae",0.679450425894085,-71.7618308358491,173.38555526416,0.992048168096284
"s__Bacteroides_caccae",0.77277572406383,-1.16130768624035,4.01585167725354,0.992048168096284
"s__Bacteroides_cellulosilyticus",0.888548649002737,1.30280294178393,9.28322131933085,0.992048168096284
"s__Bacteroides_clarus",0.600529901844148,-5.29586864399222,10.0957023876634,0.992048168096284
"s__Bacteroides_coprocola",1.6081208602015e-06,43.2666901815084,8.7194800934251,0.000135082152256926
"s__Bacteroides_coprophilus",0.676582309450064,8.50474757300984,20.355424853617,0.992048168096284
"s__Bacteroides_dorei",0.289851351418291,-3.29421173895799,3.10313894209101,0.992048168096284
"s__Bacteroides_eggerthii",0.675144681257563,1.45779783228121,3.47274238899938,0.992048168096284
"s__Bacteroides_faecis",0.597792013380725,16.7838656104409,31.7565658905798,0.992048168096284
"s__Bacteroides_finegoldii",0.692773733910022,-4.77230750183369,12.0595400208901,0.992048168096284
"s__Bacteroides_fragilis",0.909374942157201,-0.359101521157539,3.15036572172235,0.992048168096284
"s__Bacteroides_intestinalis",0.964547844115784,1.55478654502047,34.9317891066437,0.992048168096284
"s__Bacteroides_massiliensis",0.614012180346125,-3.17282228737411,6.27989997520025,0.992048168096284
"s__Bacteroides_nordii",0.573904343525099,-147.596195658337,262.001894850363,0.992048168096284
"s__Bacteroides_ovatus",0.895669953297285,-0.292663479233941,2.22865249220548,0.992048168096284
"s__Bacteroides_plebeius",0.0029048591000884,15.4671934190757,5.12336265341066,0.122004082203713
"s__Bacteroides_salyersiae",0.954475674950738,1.08611284218638,18.9989894159629,0.992048168096284
"s__Bacteroides_sp_2_1_22",0.360920335678008,-231.745467450341,253.011961297151,0.992048168096284
"s__Bacteroides_sp_3_2_5",0.435528719697479,-8.60271169389013,11.0077934136515,0.992048168096284
"s__Bacteroides_sp_4_3_47FAA",0.974908740759596,0.443738125308768,14.0886365795058,0.992634354227952
"s__Bacteroides_stercoris",0.0743712545416394,3.98931862987922,2.22276955798135,0.992048168096284
"s__Bacteroides_thetaiotaomicron",0.554125524689504,-2.42845716819386,4.09727582686219,0.992048168096284
"s__Bacteroides_uniformis",0.19961349663038,-4.06311309167644,3.15610145898884,0.992048168096284
"s__Bacteroides_vulgatus",0.255679279340635,-5.51802920700036,4.8391331960761,0.992048168096284
"s__Bacteroides_xylanisolvens",0.274658304208293,-12.3816935406313,11.2998894528707,0.992048168096284
"s__Barnesiella_intestinihominis",0.359055139760697,-10.3245560365957,11.2282225918511,0.992048168096284
"s__Bifidobacterium_adolescentis",0.00188345589838414,15.3235794810004,4.85743521428927,0.105473530309512
"s__Bifidobacterium_animalis",0.919907095899543,229.848201428497,2282.68774855361,0.992048168096284
"s__Bifidobacterium_bifidum",0.673904899331301,10.2010613577892,24.2027496341353,0.992048168096284
"s__Bifidobacterium_breve",0.967094958839545,-0.561691674018006,13.5971608600462,0.992048168096284
"s__Bifidobacterium_catenulatum",0.349954579506779,60.6774838975907,64.7491764361461,0.992048168096284
"s__Bifidobacterium_dentium",0.429742338715199,50.6821372537734,64.0397406861014,0.992048168096284
"s__Bifidobacterium_longum",0.0962061032895391,15.8236159683634,9.46229113791891,0.992048168096284
"s__Bifidobacterium_pseudocatenulatum",0.39838722297822,66.4241336299382,78.4673744317849,0.992048168096284
"s__Bilophila_wadsworthia",0.955795196442269,37.0754806318912,667.928522676573,0.992048168096284
"s__Blautia_producta",0.594985649217105,-26.7066688767264,50.1464432351916,0.992048168096284
"s__Burkholderiales_bacterium_1_1_47",0.487876878712711,-262.553952457625,377.710613784592,0.992048168096284
"s__Butyrivibrio_crossotus",0.227076648693314,3082.1157908693,2542.86653501961,0.992048168096284
"s__Catenibacterium_mitsuokai",0.647539620181191,54.6011895811612,119.229193170933,0.992048168096284
"s__Citrobacter_freundii",0.826276224065412,-28.263374462447,128.586957758404,0.992048168096284
"s__Clostridiales_bacterium_1_7_47FAA",0.717637737179129,-6.65075826488987,18.3628140737956,0.992048168096284
"s__Clostridium_asparagiforme",0.0968970089077733,77.1894979501315,46.2547104031752,0.992048168096284
"s__Clostridium_bartlettii",0.783068211260973,110.898061842077,402.191313151994,0.992048168096284
"s__Clostridium_bolteae",0.734116065520603,15.1053566114806,44.4037394268122,0.992048168096284
"s__Clostridium_clostridioforme",0.170099835650547,110.560218461926,80.267501527677,0.992048168096284
